codigo,nombre,etapa,categoria,escala,tiempo_estimado_dias,contenido,requiere_especialista,activa
EST-003,Planta de Despiece de Losa,Técnica,Estructural,1:75,4-6 días,"Refuerzo de losas de entrepiso y cubierta, especificación de diámetros, separaciones, longitudes de desarrollo y traslapos",true,true
EST-004,Detalles Estructurales,Técnica,Estructural,1:25,6-8 días,"Detalles de conexiones viga-columna, anclajes, juntas, especificaciones de soldadura y elementos metálicos complementarios",true,true
EST-005,Planta de Columnas,Técnica,Estructural,1:100,3-4 días,"Ubicación, dimensiones y refuerzo de columnas, especificación de estribos, ganchos y traslapos verticales",true,true
ELE-001,Planta Eléctrica General,Técnica,Instalaciones Eléctricas,1:100,4-5 días,"Distribución de circuitos, ubicación de tomas, interruptores, luminarias, tablero principal y rutas de canalización",true,true
ELE-002,Diagrama Unifilar,Técnica,Instalaciones Eléctricas,S/E,2-3 días,"Esquema eléctrico del sistema, breakers, cargas, calibres de conductores y protecciones eléctricas del proyecto",true,true
ELE-003,Detalles de Instalación Eléctrica,Técnica,Instalaciones Eléctricas,1:25,3-4 días,"Detalles de cajas, canalizaciones, conexiones especiales, puestas a tierra y especificaciones técnicas de instalación",true,true
ELE-004,Planta de Iluminación,Técnica,Instalaciones Eléctricas,1:100,3-4 días,"Diseño de iluminación artificial, ubicación de luminarias, tipos de lámparas, niveles de iluminación y controles",true,true
HID-001,Planta Hidráulica de Agua Fría,Técnica,Instalaciones Hidráulicas,1:100,4-5 días,"Red de distribución de agua potable, ubicación de puntos hidráulicos, diámetros de tuberías y especificación de materiales",true,true
HID-002,Planta Hidráulica de Agua Caliente,Técnica,Instalaciones Hidráulicas,1:100,4-5 días,"Sistema de agua caliente, recirculación, aislamiento térmico, calentadores y especificación de tuberías especializadas",true,true
HID-003,Planta de Desagües,Técnica,Instalaciones Hidráulicas,1:100,4-6 días,"Red de evacuación de aguas residuales y lluvias, pendientes, cajas de inspección, conexiones domiciliarias",true,true
HID-004,Isométrico Hidráulico,Técnica,Instalaciones Hidráulicas,S/E,3-4 días,"Representación tridimensional del sistema hidráulico con cotas verticales, conexiones y especificaciones técnicas detalladas",true,true
HID-005,Detalles Hidráulicos,Técnica,Instalaciones Hidráulicas,1:25,2-3 días,"Detalles de conexiones, sifones, válvulas, accesorios especiales y especificaciones de instalación",true,true
GAS-001,Planta de Instalación de Gases,Técnica,Instalaciones de Gas,1:100,3-4 días,"Red de distribución de gas natural, ubicación de puntos de gas, especificación de tuberías amarillas certificadas",true,true
GAS-002,Detalles de Gas Natural,Técnica,Instalaciones de Gas,1:25,2-3 días,"Detalles de conexiones, válvulas de corte, reguladores de presión, ventilaciones y medidas de seguridad",true,true
CLI-001,Planta de Climatización,Técnica,Climatización,1:100,5-7 días,"Diseño de sistema de aire acondicionado, ubicación de unidades, ductos de retorno y suministro, difusores",true,true
CLI-002,Detalles de Climatización,Técnica,Climatización,1:25,3-4 días,"Detalles de instalación de equipos, conexiones eléctricas y de refrigeración, aislamiento térmico y controles",true,true
PIS-001,Planta General de Piscina,Técnica,Piscinas,1:50,4-6 días,"Diseño estructural de piscina, dimensiones, profundidades, escalones, bordes y especificaciones de construcción",true,true
PIS-002,Detalles Constructivos de Piscina,Técnica,Piscinas,1:25,3-5 días,"Detalles de acabados, sistema de filtración, skimmers, boquillas de retorno, iluminación subacuática",true,true
PIS-003,Instalaciones Hidráulicas de Piscina,Técnica,Piscinas,1:50,4-5 días,"Sistema de filtración, recirculación, equipos de bombeo, tratamiento químico y automatización básica",true,true
CON-001,Planos de Localización y Urbanismo,Construcción,Generalidades,1:500,2-3 días,"Ubicación del proyecto, accesos, servicios públicos, relación con el entorno y cumplimiento normativo urbano",false,true
CON-002,Especificaciones Técnicas Generales,Construcción,Especificaciones,S/E,5-7 días,"Especificaciones detalladas de materiales, calidades, procesos constructivos, control de calidad y normas técnicas",false,true
CON-003,Detalles de Impermeabilización,Construcción,Detalles Constructivos,1:25,3-4 días,"Sistemas de impermeabilización para fundaciones, terrazas, baños, especificación de membranas y sellantes",false,true
CON-004,Detalles de Acabados Especiales,Construcción,Acabados,1:25,4-5 días,"Detalles constructivos de enchapes, molduras, cielos rasos, elementos decorativos y acabados de alta calidad",false,true
CON-005,Planta de Desagües de Cubierta,Construcción,Instalaciones,1:100,2-3 días,"Sistema de evacuación de aguas lluvias, canales, bajantes, pendientes y especificación de materiales para cubiertas",false,true
